key,tourn,round,player.id,match.id,seed,seeded,name,Sets.Played,Tie.Breaks.Played,Total.Games,Winners,Return.Games.Won,Server.Points.Won,Total.Points,First.Serves.In,Total.Aces,Total.Double.Faults,First.Serve.Pts.Won,Pct.1stt.Serve.In,Unforced.Errors,Winning.Pct.on.1st.Serve,Winning.Pct.on.2nd.Serve,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,W.UE,RPW.TPW,W.minus.Aces,SPW.TPW,match.type,year
1224.AUS,AUS,2,atpme82,1224,0,Not Seeded,Adrian Mannarino,4,1,40,32,5,69,113,76,5,1,44,55,73,58,41,37,50,58,113,123.652867208,105.63310264,86.370595688,0.438356164383562,0.327433628318584,27,0.610619469026549,1,2014
1147.AUS,AUS,1,atpme82,1147,0,Not Seeded,Adrian Mannarino,5,0,46,3,7,89,142,81,3,3,52,58,3,64,63,40,64,NA,142,NA,NA,NA,1,0.28169014084507,0,0.626760563380282,1,2014
2313.AUS,AUS,3,wta312251,2313,5,Seeded,Agnieszka Radwanska,3,0,28,25,6,52,96,55,5,2,36,65,19,65,55,49,67,65,96,105.011731448,90.720194032,70.836315888,1.31578947368421,0.510416666666667,20,0.541666666666667,2,2014
2602.AUS,AUS,6,wta312251,2602,5,Seeded,Agnieszka Radwanska,2,0,15,12,1,19,40,34,2,2,17,68,24,50,13,40,11,44,40,102.52624668,88.234709264,68.972202312,0.5,1,10,0.475,2,2014
2504.AUS,AUS,5,wta312251,2504,5,Seeded,Agnieszka Radwanska,3,0,25,23,6,49,94,46,1,1,33,59,15,72,50,50,38,79,94,103.768989064,88.234709264,70.836315888,1.53333333333333,0.531914893617021,22,0.521276595744681,2,2014
2225.AUS,AUS,2,wta312251,2225,5,Seeded,Agnieszka Radwanska,2,0,18,18,5,36,63,35,1,1,28,66,13,80,44,51,63,79,63,104.390360256,92.584307608,70.214944696,1.38461538461538,0.80952380952381,17,0.571428571428571,2,2014
2149.AUS,AUS,1,wta312251,2149,5,Seeded,Agnieszka Radwanska,3,0,26,38,7,51,96,48,9,1,36,59,31,75,44,50,64,63,96,105.011731448,91.341565224,68.35083112,1.2258064516129,0.520833333333333,29,0.53125,2,2014
2407.AUS,AUS,4,wta312251,2407,5,Seeded,Agnieszka Radwanska,2,0,16,9,4,45,76,48,2,1,34,73,15,71,61,53,44,57,76,105.63310264,92.584307608,70.836315888,0.6,0.697368421052632,7,0.592105263157895,2,2014
2158.AUS,AUS,1,wta315232,2158,0,Not Seeded,Ajla Tomljanovic,3,1,32,5,3,61,97,47,5,6,36,49,6,77,51,36,50,NA,97,NA,NA,NA,0.833333333333333,0.371134020618557,0,0.628865979381443,2,2014
2229.AUS,AUS,2,wta315232,2229,0,Not Seeded,Ajla Tomljanovic,3,0,29,25,3,57,87,52,3,6,35,54,44,67,50,36,50,50,87,118.681897672,108.118587408,86.99196688,0.568181818181818,0.413793103448276,22,0.655172413793103,2,2014
1163.AUS,AUS,1,atpm824,1163,0,Not Seeded,Albert Montanes,3,0,23,1,0,32,42,41,1,4,23,60,4,56,33,19,0,NA,42,NA,NA,NA,0.25,0.452380952380952,0,0.761904761904762,1,2014
1143.AUS,AUS,1,atpr772,1143,0,Not Seeded,Albert Ramos,3,0,28,2,3,42,77,51,2,3,32,61,3,63,30,39,43,NA,77,NA,NA,NA,0.666666666666667,0.506493506493506,0,0.545454545454545,1,2014
1150.AUS,AUS,1,atpf444,1150,0,Not Seeded,Alejandro Falla,4,1,38,4,10,73,151,74,4,2,50,60,2,68,47,50,36,NA,151,NA,NA,NA,2,0.33112582781457,0,0.483443708609272,1,2014
1225.AUS,AUS,2,atpf444,1225,0,Not Seeded,Alejandro Falla,4,1,41,26,2,81,117,81,1,3,56,60,37,69,46,29,29,62,117,122.410124824,109.361329792,83.88511092,0.702702702702703,0.247863247863248,25,0.692307692307692,1,2014
1148.AUS,AUS,1,atpg892,1148,0,Not Seeded,Alejandro Gonzalez,3,0,29,22,5,41,75,60,2,4,34,68,41,57,25,41,71,52,75,123.652867208,115.575041712,88.234709264,0.536585365853659,0.546666666666667,20,0.546666666666667,1,2014
1133.AUS,AUS,1,atpn503,1133,0,Not Seeded,Aleksandr Nedovyesov,3,0,28,22,0,54,67,57,8,2,37,61,37,65,47,18,0,69,67,132.352063896,113.710928136,87.613338072,0.594594594594595,0.26865671641791,14,0.805970149253731,1,2014
1157.AUS,AUS,1,atpb842,1157,0,Not Seeded,Alex Bogomolov Jr.,2,0,17,11,2,39,61,45,0,11,26,54,46,58,33,40,33,67,61,NA,NA,NA,0.239130434782609,0.655737704918033,11,0.639344262295082,1,2014
1146.AUS,AUS,1,atpd801,1146,0,Not Seeded,Alexandr Dolgopolov,3,0,32,37,5,65,114,53,7,4,42,58,31,79,61,43,31,100,114,128.623836744,113.710928136,84.506482112,1.19354838709677,0.37719298245614,30,0.570175438596491,1,2014
