"name","Winners","Unforced.Errors","Double.Faults","Aces","First.Serves.In","Winning.Pct.on.1st.Serve","Winning.Pct.on.2nd.Serve","Receiving.Points.Won","Fastest.Serve.Speed","Round"
"Adrian Mannarino",17.5,38,2,4,78.5,61,52,38.5,123.652867208,2
"Albert Montanes",1,4,4,1,41,56,33,19,NA,1
"Albert Ramos",2,3,3,2,51,63,30,39,NA,1
"Alejandro Falla",15,19.5,2.5,2.5,77.5,68.5,46.5,39.5,122.410124824,2
"Alejandro Gonzalez",22,41,4,2,60,57,25,41,123.652867208,1
"Aleksandr Nedovyesov",22,37,2,8,57,65,47,18,132.352063896,1
"Alex Bogomolov Jr.",11,46,11,0,45,58,33,40,NA,1
"Alexandr Dolgopolov",40,33.5,3,11,84.5,74.5,54,39,129.555893532,2
"Aljaz Bedene",28,52,11,16,58,69,18,35,NA,1
"Andreas Seppi",57,62,7.5,14.5,93.5,69,53.5,39.5,123.342181612,2
"Andrey Golubev",8,15,0,0,36,50,50,26,125.516980784,1
"Andy Murray",35,33.4,2.6,8,62,77.8,53,44.4,128.9966594592,5
"Benjamin Becker",38,36,5,12,66,68,53,31,134.837548664,1
"Benoit Paire",55.6666666666667,43,4.66666666666667,23,63,79,45.3333333333333,36.3333333333333,128.209589282667,3
"Bernard Tomic",13,7,1,3,20,75,38,23,130.48795032,1
"Blaz Kavcic",27.5,24,4.5,8,63,59,52.5,37.5,125.516980784,2
"Blaz Rola",9,8,8,9,80.5,77.5,41.5,34.5,NA,2
"Bradley Klahn",10,9,9,10,75,72,51,21,NA,1
"Carlos Berlocq",9,4,4,9,83,59,52,41,NA,1
"Damir Dzumhur",19.3333333333333,21.3333333333333,5,5.33333333333333,39.6666666666667,77.3333333333333,51.6666666666667,37.6666666666667,118.06052648,3
"Daniel Brands",111,81,4,41,129,84,48,33,NA,1
"Daniel Gimeno-Traver",22,33,5,5,68,63,46,28,121.16738244,1
"David Ferrer",36.2,38.2,2.6,1.8,66.6,68.4,55.4,47,116.9420583344,5
"David Guez",20,39,0,3,49,53,44,34,111.225443368,1
